repository,number,title,author,createdAt,mergedAt,firstReviewedAt,firstApprovedAt
"microsoft/Typescript",56907,"Treat contextually typed functions in JS files as typed","Andarist","2023-12-30T23:29:07Z","2025-02-20T00:58:32Z","2024-01-29T23:32:51Z","2024-05-21T21:36:38Z"
"microsoft/Typescript",56941,"Narrow generic conditional and indexed access return types when checking return statements","gabritto","2024-01-03T20:10:47Z","2024-11-06T02:18:24Z","2024-10-29T17:05:52Z","2024-10-30T21:22:14Z"
"microsoft/Typescript",57029,"Take into account peerDependency versions when calculating packageId","sheetalkamat","2024-01-11T21:39:51Z","2024-04-01T16:04:02Z","2024-01-11T22:54:22Z","2024-04-01T15:42:31Z"
"microsoft/Typescript",57110,"Fixed crashes when looking up symbols of jsdoc nodes in TS files","Andarist","2024-01-20T23:55:08Z","2024-04-04T22:45:35Z","2024-01-21T10:00:19Z","2024-03-27T20:24:01Z"
"microsoft/Typescript",57146,"fix(57141): override keyword doesnt check symbol-key class members","a-tarasyuk","2024-01-23T19:55:40Z","2024-06-12T23:25:06Z","2024-03-12T20:50:06Z","2024-03-12T22:06:24Z"
"microsoft/Typescript",57167,"Fixed braceless type tags with types starting with an open parenthesis","Andarist","2024-01-25T07:58:48Z","2024-04-05T22:38:54Z","2024-03-27T20:50:26Z","2024-03-27T20:50:26Z"
"microsoft/Typescript",57196,"Search ancestor and its references for default projects","sheetalkamat","2024-01-27T01:04:05Z","2024-06-14T20:13:37Z","2024-06-14T19:23:59Z","2024-06-14T19:48:01Z"
"microsoft/Typescript",57201,"fix(57022): Rename of string literal property name doesnt rename all occurences","Zzzen","2024-01-28T07:57:56Z","2024-05-24T23:04:02Z","2024-05-24T22:50:33Z","2024-05-24T22:50:33Z"
"microsoft/Typescript",57230,"add types for set methods proposal","bakkot","2024-01-30T06:43:31Z","2024-05-16T21:19:25Z","2024-01-31T19:59:27Z","2024-05-16T18:51:45Z"
"microsoft/Typescript",57262,"Implementing copy/paste","navya9singh","2024-02-01T19:33:59Z","2024-05-08T23:07:52Z","2024-02-01T19:42:52Z","2024-03-20T21:39:14Z"
"microsoft/Typescript",57281,"Fix bug#56997 - Parenthesized SatisfiesExpressions with comments are not unwrapped consistently in emitted JS","jean-michelet","2024-02-03T19:21:37Z","2024-04-19T23:00:44Z","2024-02-05T08:54:18Z","2024-02-28T21:51:05Z"
"microsoft/Typescript",57341,"check return type of this type predicates","Zzzen","2024-02-08T15:17:41Z","2024-04-08T20:37:24Z","2024-04-05T04:02:08Z","2024-04-08T18:25:10Z"
"microsoft/Typescript",57467,"Propagate object flags related to object and array literals onto `module.exports` types","Andarist","2024-02-21T18:45:05Z","2024-04-16T18:21:01Z","2024-04-05T21:24:23Z","2024-04-16T18:20:28Z"
"microsoft/Typescript",57492,"Keep scriptInfo and project alive even after file delete till next file open","sheetalkamat","2024-02-22T22:58:46Z","2024-04-12T17:43:09Z","2024-04-10T18:15:53Z","2024-04-11T20:41:20Z"
"microsoft/Typescript",57517,"fix(57497): ""Remove unused declaration"" does not work on overloaded function declarations","a-tarasyuk","2024-02-23T22:29:29Z","2024-04-19T18:28:00Z","2024-02-24T00:26:01Z","2024-04-19T18:27:54Z"
"microsoft/Typescript",57595,"Accept decimal strings in Intl.NumberFormat","felixfbecker","2024-03-01T12:03:14Z","2024-04-05T20:52:21Z","2024-04-05T17:15:19Z","2024-04-05T17:15:19Z"
"microsoft/Typescript",57628,"Fixed crash in go to definition related to expando classes in JS files","Andarist","2024-03-04T10:02:05Z","2024-04-19T23:54:30Z","2024-03-04T10:03:31Z","2024-04-15T21:48:36Z"
"microsoft/Typescript",57673,"Fixed excess and common property checks with `NoInfer`","Andarist","2024-03-07T09:56:10Z","2024-04-02T15:02:52Z","2024-03-20T17:56:22Z","2024-03-20T17:56:22Z"
"microsoft/Typescript",57684,"Switch to eslint flat config","jakebailey","2024-03-07T22:06:20Z","2024-06-27T23:11:56Z","2024-03-08T11:40:46Z","2024-06-27T17:02:51Z"
"microsoft/Typescript",57701,"Use more universal ANSI sequence for clear screen and clear buffer","colinta","2024-03-08T20:06:34Z","2024-07-22T20:30:18Z","2024-07-22T18:51:18Z","2024-07-22T18:51:18Z"
"microsoft/Typescript",57704,"Allow `import =` in module augmentations","RyanCavanaugh","2024-03-08T22:35:41Z","2024-08-02T19:55:28Z","2024-03-08T22:37:26Z","2024-03-08T22:37:26Z"
"microsoft/Typescript",57718,"Add string literal completions for `package.json` `imports` field","Andarist","2024-03-11T10:25:06Z","2024-10-31T20:33:40Z","2024-03-11T10:26:36Z","2024-10-31T20:31:06Z"
"microsoft/Typescript",57769,"fix(57761): Invalid verbatimModuleSyntax quick fix offered when also reexporting a value","a-tarasyuk","2024-03-13T22:34:57Z","2024-04-03T23:06:45Z","2024-03-27T21:16:05Z","2024-04-02T22:10:33Z"
"microsoft/Typescript",57837,"Avoid infinite recursion with `inferReverseMappedType`","gabritto","2024-03-18T21:52:15Z","2024-04-16T17:43:39Z","2024-03-19T20:43:56Z","2024-03-21T21:24:58Z"
"microsoft/Typescript",57842,"Region-based semantic diagnostics","gabritto","2024-03-19T01:28:10Z","2024-06-13T23:21:01Z","2024-03-22T21:11:45Z","2024-06-13T21:55:18Z"
"microsoft/Typescript",57893,"🤖 Pick PR #57871 (Divide-and-conquer strategy for int...) into release-5.4","typescript-bot","2024-03-21T21:25:44Z","2024-04-01T00:28:39Z","2024-04-01T00:28:39Z","2024-04-01T00:28:39Z"
"microsoft/Typescript",57896,"Respect package.json `""type""` and module-format-specific file extensions in more `module` modes","andrewbranch","2024-03-21T22:28:28Z","2024-04-12T19:47:09Z","2024-03-25T20:15:48Z","2024-03-26T22:08:21Z"
"microsoft/Typescript",57909,"Improve logic that chooses co- vs. contra-variant inferences","Andarist","2024-03-22T19:04:46Z","2024-06-17T22:25:06Z","2024-03-22T19:11:33Z","2024-06-14T18:49:33Z"
"microsoft/Typescript",57934,"Add `noCheck` API option","weswigham","2024-03-25T18:41:12Z","2024-04-26T20:21:15Z","2024-03-25T18:46:22Z","2024-04-11T23:23:51Z"
"microsoft/Typescript",57948,"Correct the type of return value of FinalizationRegistry.unregister","jameslan","2024-03-26T21:24:33Z","2024-04-18T22:45:47Z","2024-04-17T18:33:06Z","2024-04-17T18:33:06Z"
"microsoft/Typescript",57952,"Fixed type predicate inference for discriminated union parameters","Andarist","2024-03-27T00:05:24Z","2024-04-02T18:49:21Z","2024-04-01T19:08:56Z","2024-04-01T19:08:56Z"
"microsoft/Typescript",57966,"Use evaluator for isolatedModules enum restrictions","andrewbranch","2024-03-27T18:17:01Z","2024-04-04T16:56:23Z","2024-03-28T00:04:09Z","2024-04-02T18:07:51Z"
"microsoft/Typescript",57969,"fix37816: goToDefinition skips call signatures for jsx components","iisaduan","2024-03-27T21:23:22Z","2024-05-10T20:45:45Z","2024-05-10T13:13:42Z","2024-05-10T13:13:42Z"
"microsoft/Typescript",57974,"Refactor name resolution to separate component","dragomirtitian","2024-03-27T22:58:19Z","2024-04-11T16:56:20Z","2024-03-27T23:02:14Z","2024-03-28T21:06:16Z"
"microsoft/Typescript",57977,"Monomorphic flow nodes","ahejlsberg","2024-03-28T01:05:05Z","2024-04-04T23:53:15Z","2024-04-02T16:30:36Z","2024-04-04T23:30:45Z"
"microsoft/Typescript",58001,"Fixed an issue with `missingType` narrowing by `case undefined` in default cases","Andarist","2024-03-29T20:54:11Z","2024-05-01T15:57:42Z","2024-03-29T22:45:16Z","2024-05-01T15:51:04Z"
"microsoft/Typescript",58004,"Update getTimezoneOffset JSDoc","raynauds","2024-03-29T22:13:22Z","2024-04-01T15:56:09Z","2024-04-01T15:56:02Z","2024-04-01T15:56:02Z"
"microsoft/Typescript",58007,"Deprecate module keyword for namespace declarations","Zzzen","2024-03-30T18:04:27Z","2024-07-24T00:22:39Z","2024-05-23T20:55:13Z","2024-05-23T20:55:13Z"
"microsoft/Typescript",58008,"Fixed single signature type parameter leak","Andarist","2024-03-30T18:30:11Z","2024-04-19T17:15:42Z","2024-03-30T18:35:01Z","2024-04-19T17:00:25Z"
"microsoft/Typescript",58010,"Add types for `String#isWellFormed` and `String#toWellFormed`","andreubotella","2024-03-31T04:17:18Z","2024-04-19T20:52:23Z","2024-04-04T22:21:18Z","2024-04-04T23:19:22Z"
"microsoft/Typescript",58013,"Omit effects-free conditional constructs from control flow graph","ahejlsberg","2024-03-31T15:14:48Z","2024-04-04T23:36:05Z","2024-04-03T01:53:39Z","2024-04-03T01:53:39Z"
"microsoft/Typescript",58036,"Remove FlowNodes and FlowFlags from public API","jakebailey","2024-04-02T16:07:10Z","2024-04-03T01:24:41Z","2024-04-02T16:35:40Z","2024-04-02T16:35:40Z"
"microsoft/Typescript",58037,"Fix baselines from recent merge","jakebailey","2024-04-02T16:38:40Z","2024-04-02T16:51:01Z","2024-04-02T16:47:35Z","2024-04-02T16:47:35Z"
"microsoft/Typescript",58038,"Update dprint, dont force multiline imports for imports of single name","jakebailey","2024-04-02T17:21:23Z","2024-04-02T17:58:16Z","2024-04-02T17:44:55Z","2024-04-02T17:44:55Z"
"microsoft/Typescript",58039,"fix51686: dont indent mapped types on new lines","iisaduan","2024-04-02T17:59:04Z","2024-04-02T22:52:09Z","2024-04-02T21:54:25Z","2024-04-02T21:54:25Z"
"microsoft/Typescript",58041,"Tweak CI failure diffing, produce an artifact for fixing baseline errors","jakebailey","2024-04-02T20:35:13Z","2024-04-02T20:50:14Z","2024-04-02T20:38:05Z","2024-04-02T20:38:05Z"
"microsoft/Typescript",58042,"Add template variable ${configDir} for substitution of config files directory path","sheetalkamat","2024-04-02T21:12:01Z","2024-04-16T23:25:07Z","2024-04-08T18:34:05Z","2024-04-16T23:02:45Z"
"microsoft/Typescript",58045,"Monomorphize allocators for tsserver/public API, just like core compiler","jakebailey","2024-04-02T23:28:55Z","2024-04-05T00:03:03Z","2024-04-02T23:31:01Z","2024-04-04T17:14:43Z"
"microsoft/Typescript",58049,"Bailout early from `isFunctionObjectType` for evolving arrays","Andarist","2024-04-03T07:33:53Z","2024-07-26T17:09:02Z","2024-04-03T07:45:53Z","2024-07-23T18:29:14Z"
"microsoft/Typescript",58057,"Export executeCommandLine from public API (internal for now)","jakebailey","2024-04-03T16:19:44Z","2024-04-04T22:52:23Z","2024-04-03T17:03:51Z","2024-04-03T18:35:12Z"
"microsoft/Typescript",58058,"Sort imports with dprint instead of eslint","jakebailey","2024-04-03T16:55:13Z","2024-04-03T18:27:49Z","2024-04-03T17:00:48Z","2024-04-03T17:00:48Z"
"microsoft/Typescript",58059,"Make unused variable rule a warning, error on warnings for CI","jakebailey","2024-04-03T16:59:27Z","2024-04-03T17:29:27Z","2024-04-03T17:00:04Z","2024-04-03T17:01:25Z"
"microsoft/Typescript",58061,"Shorten error spans for errors reported on constructor declarations","Andarist","2024-04-03T18:54:45Z","2024-05-31T19:31:38Z","2024-04-03T19:27:18Z","2024-05-31T17:39:56Z"
"microsoft/Typescript",58063,"Node builder scope traversal improvements","weswigham","2024-04-03T19:57:03Z","2024-04-03T21:21:12Z","2024-04-03T19:59:28Z","2024-04-03T21:16:41Z"
"microsoft/Typescript",58066,"Adjust the node builder compatible reference check to handle aliased tuples","weswigham","2024-04-03T21:49:50Z","2024-04-03T22:11:44Z","2024-04-03T22:02:25Z","2024-04-03T22:02:25Z"
"microsoft/Typescript",58067,"Skip visits to child nodes of entity names in visitExistingNodeTreeSymbols","weswigham","2024-04-03T22:48:50Z","2024-04-04T16:38:22Z","2024-04-03T22:49:43Z","2024-04-04T04:42:15Z"
"microsoft/Typescript",58069,"Dont clear _children on NodeArrays","jakebailey","2024-04-03T23:43:50Z","2024-04-04T14:50:10Z","2024-04-04T13:23:25Z","2024-04-04T13:23:25Z"
"microsoft/Typescript",58075,"Always consider parameters in scope visible to node builder","weswigham","2024-04-04T17:35:10Z","2024-04-04T20:06:42Z","2024-04-04T17:43:28Z","2024-04-04T19:31:26Z"
"microsoft/Typescript",58078,"Always consider type parameters in scope visible to the node builder","weswigham","2024-04-04T18:42:01Z","2024-04-04T19:34:39Z","2024-04-04T19:31:37Z","2024-04-04T19:31:37Z"
"microsoft/Typescript",58079,"Special case check for this identifiers to skip exhaustive scope traversal","weswigham","2024-04-04T18:51:21Z","2024-04-04T22:51:15Z","2024-04-04T22:17:39Z","2024-04-04T22:17:39Z"
"microsoft/Typescript",58083,"Dont propagate partial union/intersection properties between caches","ahejlsberg","2024-04-04T23:04:28Z","2024-04-09T18:39:44Z","2024-04-09T17:24:23Z","2024-04-09T17:24:23Z"
"microsoft/Typescript",58085,"Replace addUndefined in serializeTypeForDeclaration with the actual declaration","weswigham","2024-04-05T00:26:52Z","2024-04-09T04:42:51Z","2024-04-08T17:58:11Z","2024-04-09T00:22:08Z"
"microsoft/Typescript",58086,"Underlines in baselines should not consider nodes with .original set synthetic","weswigham","2024-04-05T00:44:55Z","2024-04-05T16:22:42Z","2024-04-05T01:05:03Z","2024-04-05T01:14:40Z"
"microsoft/Typescript",58087,"Move incremental state to WeakSets","jakebailey","2024-04-05T01:35:24Z","2024-04-18T18:30:11Z","2024-04-18T16:27:19Z","2024-04-18T16:28:50Z"
"microsoft/Typescript",58093,"Expand auto-import API to work on non-existent files and symbols","andrewbranch","2024-04-05T16:51:37Z","2024-04-09T18:24:15Z","2024-04-05T17:57:57Z","2024-04-09T17:12:35Z"
"microsoft/Typescript",58095,"Use built-in no-restricted-syntax to ban null instead of plugin, ban null type too","jakebailey","2024-04-05T20:25:11Z","2024-04-18T16:06:32Z","2024-04-18T14:25:56Z","2024-04-18T14:25:56Z"
"microsoft/Typescript",58098,"Fix constraints of nested homomorphic mapped type instantiations","ahejlsberg","2024-04-06T21:21:29Z","2024-04-08T23:02:15Z","2024-04-08T18:02:38Z","2024-04-08T18:02:38Z"
"microsoft/Typescript",58102,"Always set node-version for setup-node","jakebailey","2024-04-07T19:05:44Z","2024-04-07T19:22:28Z","2024-04-07T19:22:28Z","2024-04-07T19:22:28Z"
"microsoft/Typescript",58103,"Bump the github-actions group with 3 updates","dependabot","2024-04-07T19:24:20Z","2024-04-15T04:27:04Z","2024-04-15T04:27:00Z","2024-04-15T04:27:00Z"
"microsoft/Typescript",58105,"Add  test case related to invalid object spreads","Andarist","2024-04-07T21:46:19Z","2024-04-08T18:10:40Z","2024-04-08T17:52:09Z","2024-04-08T17:52:09Z"
"microsoft/Typescript",58116,"🤖 Pick PR #57778 (fix type import check for default-i...) into release-5.4","typescript-bot","2024-04-08T17:32:19Z","2024-04-08T17:58:14Z","2024-04-08T17:58:07Z","2024-04-08T17:58:07Z"
"microsoft/Typescript",58117,"release-5.4: Always set node-version for setup-node","jakebailey","2024-04-08T18:11:48Z","2024-04-08T18:23:02Z","2024-04-08T18:13:01Z","2024-04-08T18:13:01Z"
"microsoft/Typescript",58118,"🤖 Pick PR #58098 (Fix constraints of nested homomorph...) into release-5.4","typescript-bot","2024-04-08T18:13:43Z","2024-04-10T01:38:50Z","2024-04-10T01:38:50Z","2024-04-10T01:38:50Z"
"microsoft/Typescript",58120,"Send configFileDiag event when presence of errors change on project.update","sheetalkamat","2024-04-08T20:02:52Z","2024-04-08T22:30:36Z","2024-04-08T20:38:14Z","2024-04-08T20:38:14Z"
"microsoft/Typescript",58123,"Do not populate exports pattern keys if more than one `*` exists","andrewbranch","2024-04-08T23:43:46Z","2024-04-10T17:12:02Z","2024-04-10T16:44:47Z","2024-04-10T16:44:47Z"
"microsoft/Typescript",58124,"Fix self tail call return type inference in assigned anonymous functions","andrewbranch","2024-04-08T23:57:42Z","2024-04-10T19:51:34Z","2024-04-09T22:05:21Z","2024-04-10T02:00:11Z"
"microsoft/Typescript",58135,"Add gitHead to package.json in all release workflows","jakebailey","2024-04-09T17:13:00Z","2024-04-19T22:54:57Z","2024-04-19T22:52:20Z","2024-04-19T22:52:20Z"
"microsoft/Typescript",58136,"🤖 Pick PR #58083 (Dont propagate partial union/inter...) into release-5.4","typescript-bot","2024-04-09T17:28:09Z","2024-04-09T19:10:17Z","2024-04-09T19:10:17Z","2024-04-09T19:10:17Z"
"microsoft/Typescript",58139,"When watching failed lookups, watch packageDir if its a symlink otherwise the path we use to watch","sheetalkamat","2024-04-09T22:00:20Z","2024-04-12T18:03:51Z","2024-04-10T21:50:55Z","2024-04-12T17:38:17Z"
"microsoft/Typescript",58140,"Add es2023 target","gabritto","2024-04-10T03:03:21Z","2024-04-12T01:42:42Z","2024-04-11T20:56:20Z","2024-04-11T20:56:20Z"
"microsoft/Typescript",58155,"Modify `CONTRIBUTING.md` and the issue templates `bug_report.yml` and `feature_request.yml` to reduce duplicate issues and improve the quality of further submitted issues","graphemecluster","2024-04-12T00:30:20Z","2024-04-22T15:43:50Z","2024-04-12T15:44:59Z","2024-04-22T15:43:43Z"
"microsoft/Typescript",58157,"Fixed widening errors locations in union-normalized object literal types","Andarist","2024-04-12T07:50:27Z","2024-06-14T20:20:17Z","2024-06-14T20:19:51Z","2024-06-14T20:19:51Z"
"microsoft/Typescript",58165,"Add missing recursive vistor on copied `import` type nodes","weswigham","2024-04-12T15:58:34Z","2024-04-12T17:53:57Z","2024-04-12T16:00:08Z","2024-04-12T16:25:47Z"
"microsoft/Typescript",58168,"Use better context scope for class constructor implementation signatures","weswigham","2024-04-12T16:43:56Z","2024-04-12T19:52:14Z","2024-04-12T16:51:54Z","2024-04-12T16:51:54Z"
"microsoft/Typescript",58169,"Don’t emit __esModule on CJS files that didn’t use ESM syntax","andrewbranch","2024-04-12T16:52:24Z","2024-04-12T19:20:10Z","2024-04-12T16:54:13Z","2024-04-12T16:54:13Z"
"microsoft/Typescript",58171,"fix(58146): enum quick info can display non ascii strings","idango10","2024-04-12T19:15:45Z","2024-04-12T20:04:03Z","2024-04-12T19:22:30Z","2024-04-12T19:22:30Z"
"microsoft/Typescript",58172,"Fix declaration emit of divergent accessors in JS classes","Andarist","2024-04-12T20:18:55Z","2024-04-15T23:48:04Z","2024-04-15T23:47:54Z","2024-04-15T23:47:54Z"
"microsoft/Typescript",58176,"Check nearest package.json dependencies for possible package names for specifier candidates","weswigham","2024-04-12T23:12:25Z","2024-04-19T00:43:08Z","2024-04-12T23:17:54Z","2024-04-18T15:40:33Z"
"microsoft/Typescript",58177,"fix(58166): Class parameter property with initializer before required property emits non-nullable parameter for declaration emit","a-tarasyuk","2024-04-12T23:49:04Z","2024-08-12T22:42:09Z","2024-06-14T20:24:48Z","2024-08-12T22:39:45Z"
"microsoft/Typescript",58183,"fix(58151): JSDoc tags get lost when inheriting from a grandparent class","a-tarasyuk","2024-04-13T21:36:47Z","2024-04-15T22:47:40Z","2024-04-15T22:39:01Z","2024-04-15T22:39:01Z"
"microsoft/Typescript",58186,"Fixed intersections of primitive unions with `exactOptionalPropertyTypes` when mixing `undefinedType` with `missingType`","Andarist","2024-04-14T08:04:32Z","2024-07-01T18:17:01Z","2024-06-25T22:17:17Z","2024-06-26T19:03:15Z"
"microsoft/Typescript",58201,"Isolated declarations errors","dragomirtitian","2024-04-15T16:50:56Z","2024-04-19T22:37:15Z","2024-04-15T17:34:29Z","2024-04-19T22:25:42Z"
"microsoft/Typescript",58203,"Allow signature help argument count to be equal to argument index","Andarist","2024-04-15T20:34:09Z","2024-06-14T21:50:36Z","2024-04-15T20:37:24Z","2024-06-14T21:45:53Z"
"microsoft/Typescript",58211,"DOM update 2024-04-16","sandersn","2024-04-16T15:09:45Z","2024-04-19T15:52:39Z","2024-04-19T15:52:39Z","2024-04-19T15:52:39Z"
"microsoft/Typescript",58212,"Logarithmish baseline counts","RyanCavanaugh","2024-04-16T18:02:15Z","2024-04-16T19:18:40Z","2024-04-16T18:06:24Z","2024-04-16T18:17:34Z"
"microsoft/Typescript",58213,"Add test for type inference of Promise/PromiseLike union bug","jakebailey","2024-04-16T18:28:36Z","2024-04-19T20:51:19Z","2024-04-19T20:50:14Z","2024-04-19T20:50:14Z"
"microsoft/Typescript",58216,"Fixed crash when cross-file reusing nodes for class member snippet completions","Andarist","2024-04-16T20:06:27Z","2024-07-04T17:38:25Z","2024-07-03T23:03:48Z","2024-07-03T23:03:48Z"
"microsoft/Typescript",58217,"Add an extra test case for an error on async function typed using `@type`","Andarist","2024-04-16T21:18:54Z","2024-04-20T00:24:01Z","2024-04-16T22:56:28Z","2024-04-16T22:56:28Z"
"microsoft/Typescript",58220,"Improve diagnostics deduplication","gabritto","2024-04-17T00:09:47Z","2024-04-26T22:44:09Z","2024-04-17T19:17:36Z","2024-04-26T20:20:12Z"
"microsoft/Typescript",58221,"Fix miss-reported node reuse in types.","dragomirtitian","2024-04-17T00:13:09Z","2024-04-17T21:41:22Z","2024-04-17T16:29:42Z","2024-04-17T18:24:08Z"
"microsoft/Typescript",58222,"add types for iterator helpers proposal","bakkot","2024-04-17T02:59:15Z","2024-07-19T20:46:04Z","2024-04-17T17:21:43Z","2024-07-19T20:29:20Z"
"microsoft/Typescript",58227,"Error on replacement character only in top-level scanning","jakebailey","2024-04-17T16:07:48Z","2024-04-17T18:34:00Z","2024-04-17T16:24:04Z","2024-04-17T16:24:04Z"
"microsoft/Typescript",58228,"Remove deprecated originalKeywordKind and isInJSDocNamespace","jakebailey","2024-04-17T18:18:12Z","2024-04-17T22:28:08Z","2024-04-17T21:58:54Z","2024-04-17T21:58:54Z"
"microsoft/Typescript",58229,"Add lint error for declarations marked internal, but unexported","jakebailey","2024-04-17T19:32:18Z","2024-04-17T20:52:31Z","2024-04-17T19:32:53Z","2024-04-17T19:59:48Z"
"microsoft/Typescript",58230,"Print correct information about `noOpenRef` in the baseline","sheetalkamat","2024-04-17T19:57:29Z","2024-04-17T20:28:33Z","2024-04-17T20:07:55Z","2024-04-17T20:07:55Z"
"microsoft/Typescript",58233,"Dont cache child lists for tokens","DanielRosenwasser","2024-04-17T21:51:21Z","2024-04-19T21:49:31Z","2024-04-17T22:18:39Z","2024-04-19T21:23:49Z"
"microsoft/Typescript",58239,"Correctly compute noUncheckedIndexedAccess effects on compound/increment/decrement assignments","RyanCavanaugh","2024-04-18T16:07:59Z","2024-04-19T21:13:54Z","2024-04-19T20:49:21Z","2024-04-19T20:49:21Z"
"microsoft/Typescript",58242,"Try sorting and deduplicating events before comparing.","sheetalkamat","2024-04-18T18:04:14Z","2024-04-18T18:59:53Z","2024-04-18T18:21:57Z","2024-04-18T18:45:42Z"
"microsoft/Typescript",58243,"Add TReturn/TNext to Iterable et al","rbuckton","2024-04-18T18:29:17Z","2024-07-19T17:14:00Z","2024-04-30T19:52:14Z","2024-07-19T17:00:47Z"
"microsoft/Typescript",58251,"Rename isParameterDeclaration to isPartOfParameterDeclaration","jakebailey","2024-04-19T15:36:02Z","2024-04-19T16:34:28Z","2024-04-19T16:18:13Z","2024-04-19T16:18:13Z"
"microsoft/Typescript",58252,"Add try catch and defer.reject for checking sys tests","sheetalkamat","2024-04-19T16:25:07Z","2024-04-19T16:48:19Z","2024-04-19T16:26:28Z","2024-04-19T16:46:01Z"
"microsoft/Typescript",58254,"Report positionless tsconfig option errors on `compilerOptions` key","andrewbranch","2024-04-19T17:44:40Z","2024-04-19T19:33:00Z","2024-04-19T17:46:34Z","2024-04-19T18:13:50Z"
"microsoft/Typescript",58255,"Make the config file name in logger little more concise.","sheetalkamat","2024-04-19T17:56:36Z","2024-04-19T18:26:31Z","2024-04-19T18:03:25Z","2024-04-19T18:03:25Z"
"microsoft/Typescript",58257,"Updating move to file","navya9singh","2024-04-19T20:44:09Z","2024-04-25T22:32:18Z","2024-04-25T21:11:44Z","2024-04-25T21:11:44Z"
"microsoft/Typescript",58260,"Add a code fixer for --isolatedDeclarations errors","h-joo","2024-04-19T22:57:41Z","2024-04-30T22:25:52Z","2024-04-19T23:13:51Z","2024-04-29T23:30:23Z"
